p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
KDM6B	9.48164027084719e-16	-2.09150989164891	0.194	0.388	1.2914942212921e-11	0	KDM6B
GZMM	1.5634524980385e-15	0.681567854225395	0.791	0.659	2.12957864757824e-11	0	GZMM
ALOX5AP	1.74013874605486e-15	0.663000679183608	0.718	0.508	2.37024298600132e-11	0	ALOX5AP
MIR155HG	2.57258446350516e-15	-5.25971559426358	0.021	0.179	3.50411729774037e-11	0	MIR155HG
IL2RB	3.9940067736111e-15	0.597498288256609	0.811	0.673	5.44023662633568e-11	0	IL2RB
ERGIC1	7.66616377720249e-15	1.09557549109784	0.377	0.193	1.04420816809275e-10	0	ERGIC1
PHLDA1	1.01007758900061e-14	-3.87551573441824	0.026	0.182	1.37582668397773e-10	0	PHLDA1
RELB	1.3155465516872e-14	-1.5321990508721	0.168	0.361	1.79190595805314e-10	0	RELB
PIK3IP1	2.92568362190368e-14	0.665906265962749	0.68	0.478	3.98507366139501e-10	0	PIK3IP1
DUSP2	3.54213926233481e-14	-2.0010773959674	0.266	0.45	4.82474788922625e-10	0	DUSP2
PDCD4	4.17613818883138e-14	0.562421476118812	0.835	0.695	5.68831782700722e-10	0	PDCD4
MLLT3	5.86996181262197e-14	1.06562360113729	0.452	0.269	7.99547498497238e-10	0	MLLT3
KRT86	9.62943783913808e-14	1.85886784067834	0.199	0.072	1.311625728069e-09	0	KRT86
ISG20	1.03767296370514e-13	-1.37975699212526	0.32	0.497	1.41341434386277e-09	0	ISG20
BCL9L	1.07080912815392e-13	0.638811987691664	0.7	0.537	1.45854911345846e-09	0	BCL9L
IFIT3	1.15475284718751e-13	-2.01966383607001	0.24	0.416	1.5728888531541e-09	0	IFIT3
LAPTM5	1.36719495971802e-13	0.519998905322681	0.86	0.689	1.86225625463192e-09	0	LAPTM5
REL	1.87860962608694e-13	-1.33744087264613	0.506	0.645	2.55885417169303e-09	0	REL
IRF8	2.03922006265793e-13	-3.30650192581336	0.031	0.179	2.77762164734637e-09	0	IRF8
FCGR3A	2.31061143288351e-13	0.459085633968969	0.884	0.72	3.14728383273062e-09	0	FCGR3A
RAB31	2.48876316484728e-13	1.69273174993353	0.181	0.063	3.38994430683848e-09	0	RAB31
KCNK12	2.82624867837792e-13	1.67408642133961	0.171	0.056	3.84963332481856e-09	0	KCNK12
SIPA1	4.11341963573449e-13	0.791199044066833	0.501	0.305	5.60288888583395e-09	0	SIPA1
SPOCK2	4.3212758487055e-13	0.712818802198899	0.656	0.476	5.88600983352176e-09	0	SPOCK2
PRF1	4.81441373372368e-13	-0.641766634450124	0.837	0.882	6.55771294670503e-09	0	PRF1
GIMAP7	8.83644988887537e-13	0.373452730749227	0.951	0.779	1.20361283936371e-08	0	GIMAP7
IGF2R	9.32448628607083e-13	-1.39052067320323	0.183	0.368	1.27008827702571e-08	0	IGF2R
ADO	1.20764406172094e-12	-2.21979831716434	0.072	0.23	1.64493197647009e-08	0	ADO
BCL2L1	2.58239659640351e-12	-2.46217049106616	0.078	0.232	3.51748240396123e-08	0	BCL2L1
RAB8B	3.31792713307891e-12	-1.01768995233984	0.419	0.573	4.51934854796679e-08	0	RAB8B
KLHL6	4.17155799278957e-12	0.948963828463661	0.403	0.235	5.68207914197867e-08	0	KLHL6
C1orf162	4.18726930311485e-12	0.879635272596452	0.393	0.217	5.70347951777274e-08	0	C1orf162
CD7	4.50463726733675e-12	0.403568786126668	0.907	0.791	6.13576642183939e-08	0	CD7
SMS	5.71109880795055e-12	-1.94195641173105	0.109	0.269	7.77908768630945e-08	0	SMS
ADAM28	6.80775199136994e-12	1.29012126509074	0.248	0.113	9.27283898744499e-08	0	ADAM28
IFIT1	7.02743226608688e-12	-2.41087223929682	0.116	0.272	9.57206548963694e-08	0	IFIT1
IFNG	7.1941175947404e-12	-6.27141597357139	0.023	0.152	9.7991075757959e-08	0	IFNG
SERPINB9	7.63433057338969e-12	-1.84333126121212	0.165	0.335	1.03987216740141e-07	0	SERPINB9
FEZ1	7.78709528940526e-12	-1.64622429864842	0.194	0.357	1.06068024936989e-07	0	FEZ1
MX1	7.89903638249027e-12	-1.71020307218407	0.178	0.347	1.075927745659e-07	0	MX1
CD81	1.47065793265803e-11	0.458266331125478	0.853	0.773	2.0031831700735e-07	0	CD81
CRIP1	2.12527258332556e-11	0.482495760121421	0.858	0.722	2.89483378574774e-07	0	CRIP1
GIMAP1	2.50976148804977e-11	0.538848620484337	0.755	0.582	3.41854612287259e-07	0	GIMAP1
ENG	2.71348208889127e-11	1.2225165707946	0.284	0.143	3.6960339532788e-07	0	ENG
FAM102A	2.73934076219374e-11	1.07324178472371	0.326	0.176	3.73125605218409e-07	0	FAM102A
MTSS1	3.18887529397686e-11	-1.70269990411503	0.085	0.237	4.34356703792589e-07	0	MTSS1
PLEKHF1	4.26830201978145e-11	0.718133175010475	0.514	0.344	5.81385418114431e-07	0	PLEKHF1
SARAF	4.44850168108693e-11	0.366810753610506	0.902	0.835	6.0593041398085e-07	0	SARAF
GBP2	5.4863640083109e-11	-0.948071483770562	0.483	0.628	7.47297641572027e-07	0	GBP2
STX11	5.77700603943505e-11	-1.92908870778911	0.075	0.219	7.86885992631448e-07	0	STX11
KLF2	7.33646336797294e-11	-1.25208605206532	0.326	0.467	9.99299675351594e-07	0	KLF2
NLRC3	8.60613616338654e-11	0.784309360784715	0.483	0.322	1.17224180681488e-06	0	NLRC3
ABHD17A	9.29054349552561e-11	0.529807475019914	0.747	0.609	1.26546492952554e-06	0	ABHD17A
CD3D	9.59798508911167e-11	-3.22172557491093	0.021	0.138	1.3073415489879e-06	0	CD3D
LPGAT1	1.25013257796495e-10	0.646678059512685	0.589	0.427	1.70280558444606e-06	0	LPGAT1
LIM2	1.28567923471341e-10	-2.29332998468121	0.052	0.183	1.75122368560314e-06	0	LIM2
ANP32E	1.56459483761434e-10	-1.2111825168111	0.196	0.358	2.13113462831449e-06	0	ANP32E
CLEC2D	1.81486543564139e-10	-0.68181877211155	0.623	0.723	2.47202820988713e-06	0	CLEC2D
NAB2	2.35076059079529e-10	-2.49482781852331	0.039	0.162	3.20197100072227e-06	0	NAB2
XCL1	2.69350680347143e-10	-3.30352601855612	0.186	0.326	3.66882561700843e-06	0	XCL1
KRT81	2.83801436826797e-10	1.98755423505519	0.114	0.034	3.8656593710178e-06	0	KRT81
NCF1	3.14153484196866e-10	1.28250120061565	0.194	0.083	4.27908460824552e-06	0	NCF1
CX3CR1	3.58510499789908e-10	-1.20889128526969	0.209	0.366	4.88327151763833e-06	0	CX3CR1
ISG15	4.07531993449913e-10	-1.59204012386829	0.483	0.586	5.55099328278126e-06	0	ISG15
RGS16	4.32835456336472e-10	-3.36270542579084	0.121	0.253	5.89565175075908e-06	0	RGS16
KLF10	4.48160136134773e-10	-1.86361328077228	0.111	0.252	6.10438921429175e-06	0	KLF10
ADGRE5	4.67519657213029e-10	-1.14182741771297	0.545	0.634	6.36808525089867e-06	0	ADGRE5
IL2RA	5.3253085202462e-10	-4.71028720001666	0.008	0.107	7.25360273542735e-06	0	IL2RA
CD69	5.43496840126143e-10	-1.60375252140537	0.419	0.54	7.40297045935819e-06	0	CD69
SUN2	5.62342141164183e-10	0.450747864159981	0.765	0.606	7.65966230479733e-06	0	SUN2
TANK	6.834442223242e-10	-1.15872287176511	0.225	0.376	9.30919375227793e-06	0	TANK
ABLIM1	7.11265921100580e-10	0.807228390149547	0.421	0.262	9.68815311131099e-06	0	ABLIM1
RSAD2	7.55154040127167e-10	-2.71243364499948	0.062	0.188	1.02859531805721e-05	0	RSAD2
MRPS6	8.10469841971828e-10	0.483805970751734	0.788	0.657	1.10394097174983e-05	0	MRPS6
FHL3	8.6292341480658e-10	0.771298589832501	0.452	0.298	1.17538798330804e-05	0	FHL3
YPEL1	1.12792218073679e-09	0.70785533552722	0.496	0.337	1.53634280238158e-05	0	YPEL1
CCL3	1.19223739026823e-09	-3.30031273991702	0.168	0.313	1.62394654928436e-05	0	CCL3
HERC5	1.19553424395283e-09	-1.9362393048376	0.116	0.254	1.62843719368815e-05	0	HERC5
ARID5B	1.39989728180527e-09	-1.87908964966497	0.088	0.222	1.90680008754697e-05	0	ARID5B
SMURF2	1.41819533170487e-09	0.798285139598477	0.475	0.322	1.9317238613152e-05	0	SMURF2
RHOG	1.53594450136717e-09	-0.94812286909337	0.37	0.518	2.09211000531223e-05	0	RHOG
EIF4A1	1.59921324787021e-09	-0.74613819870704	0.661	0.751	2.17828836492401e-05	0	EIF4A1
IRF4	1.63598807447366e-09	-3.57239530565461	0.018	0.121	2.22837935624057e-05	0	IRF4
RAMP1	1.64610816827235e-09	-1.9796716363072	0.088	0.219	2.24216393600377e-05	0	RAMP1
KLRB1	1.94539931827478e-09	0.407217425501421	0.894	0.757	2.64982841142208e-05	0	KLRB1
MDFIC	2.29712485165856e-09	-1.85813151252403	0.101	0.234	3.12891376044413e-05	0	MDFIC
NINJ1	2.61592241510806e-09	-1.15432865442548	0.212	0.361	3.56314792161869e-05	0	NINJ1
IFIH1	2.64765908830902e-09	-1.39042115102628	0.134	0.277	3.60637644418571e-05	0	IFIH1
ATP1B1	2.82366852131447e-09	1.3506610717576	0.186	0.082	3.84611889288244e-05	0	ATP1B1
POU2F2	2.89830737294364e-09	-1.34655224143797	0.191	0.336	3.94778447268653e-05	0	POU2F2
RAN	3.01180473006676e-09	-0.628857164686025	0.605	0.712	4.10237922282393e-05	0	RAN
MARCH3	3.08193413089354e-09	1.20653157313838	0.217	0.104	4.19790247969009e-05	0	MARCH3
GZMB	3.12099169020901e-09	-0.978482400687043	0.863	0.866	4.25110278123369e-05	0	GZMB
TNFRSF1B	3.55130134759697e-09	-1.23080632103213	0.388	0.508	4.83722756556183e-05	0	TNFRSF1B
MYL12A	3.5930038443838e-09	0.32722454337491	0.943	0.891	4.89403053643517e-05	0	MYL12A
RRS1	5.50945805267354e-09	-2.42113679936119	0.018	0.117	7.50443281354663e-05	0	RRS1
MCUB	6.01226207154765e-09	0.729452647229314	0.398	0.25	8.18930216765506e-05	0	MCUB
C1orf21	6.08630718681704e-09	0.414476606496188	0.793	0.65	8.29015901916349e-05	0	C1orf21
PLEK	6.65896529228081e-09	-0.751812334460571	0.659	0.738	9.07017662461569e-05	0	PLEK
PPP1R2	6.86141673517265e-09	0.475207947692542	0.713	0.558	9.34593573497866e-05	0	PPP1R2
MAT2A	7.14295976638179e-09	-1.32758245346461	0.163	0.301	9.72942549778863e-05	0	MAT2A
HOPX	7.33446773865642e-09	-0.557730584830247	0.793	0.844	9.99027850682391e-05	0	HOPX
MYH9	7.43872022435893e-09	0.383852922870047	0.868	0.767	0.000101322808175993	0	MYH9
MAP2K3	7.57328092227349e-09	-1.13348295663952	0.256	0.394	0.000103155659442287	0	MAP2K3
JUNB	8.38674456989743e-09	-0.913555407579248	0.488	0.621	0.000114235847786573	0	JUNB
IL2RG	8.75285434975045e-09	-0.454134019924372	0.814	0.879	0.000119222629097951	0	IL2RG
MCL1	1.04160184470237e-08	-0.649781706928374	0.478	0.627	0.00014187658726691	0	MCL1
MIR181A2HG	1.08307042783001e-08	1.14074321422754	0.189	0.086	0.000147525022974726	0	MIR181A2HG
DNAJA1	1.12630443632647e-08	-0.689729008002092	0.556	0.659	0.000153413927272029	0	DNAJA1
PTPN6	1.26613936112038e-08	-1.16549784454115	0.196	0.336	0.000172460842378207	0	PTPN6
ITM2B	1.30395548527496e-08	0.380140894946536	0.837	0.734	0.000177611776649303	0	ITM2B
CD72	1.37185586018991e-08	-3.22206633768639	0.026	0.124	0.000186860486716468	0	CD72
ICAM1	1.46252419587942e-08	-3.09346415834158	0.023	0.119	0.000199210420720736	0	ICAM1
ANP32A	1.47229611661358e-08	-0.800231578051783	0.506	0.623	0.000200541454043935	0	ANP32A
BTG3	1.47336734720947e-08	-1.53026832984568	0.101	0.228	0.000200687366363402	0	BTG3
LDLRAD4	1.51622160864682e-08	0.965133533710529	0.24	0.124	0.000206524545313783	0	LDLRAD4
RRAS2	2.06243603641416e-08	-1.2269340595777	0.137	0.27	0.000280924412519972	0	RRAS2
HAVCR2	2.19092982899551e-08	-1.60671250052115	0.124	0.251	0.000298426552007479	0	HAVCR2
HCST	2.31006979531173e-08	0.338539179526258	0.928	0.844	0.000314654606819411	0	HCST
BCL2	2.62399625289497e-08	-2.00047914091688	0.036	0.138	0.000357414529606824	0	BCL2
CENPF	2.63736590635898e-08	1.22871774209325	0.189	0.09	0.000359235610105157	0	CENPF
LIX1L	2.82949270762613e-08	0.834584980676195	0.349	0.218	0.000385405201705756	0	LIX1L
IER2	3.11739731450692e-08	-0.756583044439759	0.749	0.795	0.000424620688208988	0	IER2
GZMA	3.22676268240681e-08	0.258907319388252	0.899	0.718	0.000439517344970632	0	GZMA
LCK	3.32581560689821e-08	0.459329475805545	0.695	0.576	0.000453009343815605	0	LCK
JUND	3.39154226896174e-08	-0.903373952359874	0.432	0.539	0.000461961972455278	0	JUND
CCL4L2	3.60778626509483e-08	-4.15947781534664	0.295	0.416	0.000491416567168567	0	CCL4L2
STARD4	3.64195893771514e-08	-1.47624715638736	0.098	0.221	0.00049607122690618	0	STARD4
STK17B	3.7808105849572e-08	0.390888245667074	0.819	0.696	0.000514984209777021	0	STK17B
PARP14	3.91570381246918e-08	-0.710207534553038	0.46	0.588	0.000533358016296427	0	PARP14
CPNE7	4.13979102745739e-08	1.31414747245166	0.183	0.088	0.000563880935849971	0	CPNE7
ABHD2	4.15615786981308e-08	-1.24861536953836	0.235	0.362	0.000566110263447239	0	ABHD2
RGCC	4.18851931275913e-08	0.36151940670264	0.576	0.416	0.00057051821559092	0	RGCC
AUTS2	4.27095637741364e-08	0.567413524348114	0.496	0.347	0.000581746968167512	0	AUTS2
IL16	4.34266586016977e-08	0.456150350405995	0.623	0.488	0.000591514516813724	0	IL16
ATP1B3	4.40682339371254e-08	-1.15634318512003	0.233	0.364	0.000600253414457586	0	ATP1B3
ADGRG3	4.41658197228036e-08	1.20989541928901	0.176	0.081	0.000601582630444307	0	ADGRG3
XCL2	4.44033185671079e-08	-3.42315409773567	0.351	0.441	0.000604817602202577	0	XCL2
PRNP	4.59910566616381e-08	-1.43323281663389	0.183	0.315	0.000626444182788173	0	PRNP
ABHD15	4.9484504148915e-08	0.814243951703021	0.307	0.182	0.000674028431012372	0	ABHD15
IFIT2	5.11817617781671e-08	-1.56930199336281	0.207	0.336	0.000697146777180414	0	IFIT2
LINC00996	6.00965279322358e-08	0.709783811920688	0.266	0.146	0.000818574806964984	0	LINC00996
EPSTI1	6.19078598966392e-08	-1.10465047603586	0.256	0.383	0.000843246959652122	0	EPSTI1
EIF1	6.45822405509898e-08	-0.343076560201805	0.907	0.926	0.000879674698545031	0	EIF1
MAML2	6.73260082311744e-08	-1.80890328838957	0.062	0.17	0.000917047558116827	0	MAML2
DLGAP1-AS1	7.88167674927143e-08	0.980941926720125	0.196	0.096	0.00107356319001826	0	DLGAP1-AS1
CD83	7.99669266977257e-08	-2.69787419974884	0.083	0.194	0.00108922950854972	0	CD83
STAT1	8.09829101421213e-08	-1.08618916781612	0.204	0.338	0.00110306821904583	0	STAT1
RASGRP2	8.12655182297585e-08	0.861382105352438	0.271	0.152	0.00110691762380754	0	RASGRP2
SLC1A5	8.42007536942443e-08	-1.908247657609	0.036	0.133	0.0011468984660693	0	SLC1A5
NFKB2	8.64855737623604e-08	-1.13296799611691	0.127	0.254	0.00117802000021711	0	NFKB2
MATK	8.66077355941997e-08	0.358214680809587	0.84	0.73	0.00117968396652859	0	MATK
TNFRSF18	8.70901448375807e-08	-1.35897133712111	0.359	0.466	0.00118625486283269	0	TNFRSF18
TTC39B	1.01464741654876e-07	0.670547646044353	0.357	0.225	0.00138205124608107	0	TTC39B
GYPC	1.13933177633554e-07	0.537017919633723	0.641	0.514	0.00155188381254664	0	GYPC
EMB	1.32572858994381e-07	0.50099942598447	0.636	0.489	0.00180577491236246	0	EMB
IFI6	1.38712934299249e-07	-1.38719655856039	0.264	0.389	0.00188940887809006	0	IFI6
GLIPR2	1.54541584705307e-07	0.457291634702828	0.615	0.479	0.00210501092527099	0	GLIPR2
DDX21	1.6545732366409e-07	-1.25667927928826	0.274	0.397	0.00225369420562857	0	DDX21
CCT2	1.94289583273766e-07	-0.875044853633052	0.243	0.378	0.00264641841377197	0	CCT2
PITPNC1	1.96710586875562e-07	0.544464353305445	0.509	0.367	0.00267939490383203	0	PITPNC1
S1PR4	2.08373584228067e-07	0.565582953007923	0.47	0.331	0.0028382565907705	0	S1PR4
TRGC1	2.1312958510203e-07	-0.89158548476999	0.261	0.395	0.00290303807867475	0	TRGC1
OAS3	2.13868145825553e-07	-1.91568500928048	0.044	0.14	0.00291309801428986	0	OAS3
PIAS2	2.16712749993623e-07	0.814258843545004	0.276	0.16	0.00295184436766314	0	PIAS2
IL7R	2.4084422409429e-07	-2.77983128811859	0.049	0.146	0.00328053917638832	0	IL7R
HMGA1	2.49436274728305e-07	-1.05752620904775	0.245	0.371	0.00339757149807424	0	HMGA1
LGALS1	2.59268320168092e-07	-1.2174624544552	0.209	0.338	0.00353149378900959	0	LGALS1
FAM3C	3.12213122255718e-07	-1.34501442867977	0.085	0.195	0.00425265493824513	0	FAM3C
BIRC3	3.16776734406926e-07	-1.50362679090151	0.183	0.3	0.00431481589935674	0	BIRC3
GZMH	3.18999022077337e-07	-0.824110892489339	0.403	0.512	0.00434508567971541	0	GZMH
MAP3K8	3.3189520351549e-07	-1.65105185339304	0.09	0.199	0.00452074456708449	0	MAP3K8
GPATCH4	3.34523027705411e-07	-1.30335686896837	0.08	0.189	0.00455653816037541	0	GPATCH4
VSIR	3.4567680316625e-07	-1.38315273228694	0.165	0.28	0.00470846373592749	0	VSIR
IER3	3.47339100693485e-07	-1.8865798474409	0.09	0.198	0.00473110589054596	0	IER3
EIF5A	3.49424447252732e-07	-0.639518180397542	0.615	0.687	0.00475951039602947	0	EIF5A
PNPT1	3.51859097806768e-07	-1.09289531564135	0.109	0.225	0.00479267277122599	0	PNPT1
PARK7	3.61046216280374e-07	-0.67967228314838	0.695	0.73	0.00491781051195498	0	PARK7
SEC61B	3.90338532079854e-07	-0.629832061482584	0.63	0.717	0.0053168011454597	0	SEC61B
RBM38	3.93444840256994e-07	0.697770313937778	0.481	0.363	0.00535911216914052	0	RBM38
GALNT11	4.00216682525714e-07	0.801725456132162	0.253	0.143	0.00545135143268275	0	GALNT11
BACH2	4.38485388656364e-07	-1.09361854343734	0.165	0.285	0.00597260947888833	0	BACH2
GLIPR1	4.70836007777855e-07	0.390842587396782	0.643	0.507	0.00641325726194216	0	GLIPR1
LINC002481	5.29467472796182e-07	0.767757065805711	0.233	0.127	0.0072118764469568	0	LINC002481
TUBA4A	5.55450441492184e-07	-1.14479485010551	0.137	0.253	0.00756579046356504	0	TUBA4A
NUDT14	5.79567759367862e-07	0.809317947156306	0.3	0.185	0.00789429245034965	0	NUDT14
BCL2A1	5.94088902863288e-07	-2.4245930660558	0.049	0.14	0.00809208494590085	0	BCL2A1
TRIM22	5.97036978001337e-07	-0.937321469940719	0.269	0.39	0.0081322406773562	0	TRIM22
ACAP1	6.29357996908052e-07	0.678136850987382	0.346	0.224	0.00857248527588458	0	ACAP1
VCL	6.4532714414449e-07	-1.28562560536228	0.119	0.23	0.0087900010303921	0	VCL
ZNF276	6.69028015021096e-07	0.538536698284389	0.468	0.325	0.00911283059260234	0	ZNF276
GADD45B	7.26013404413785e-07	-1.58144740837965	0.571	0.621	0.00988902858152016	0	GADD45B
DTX3L	7.63384272835648e-07	-0.934283539291472	0.217	0.341	0.0103980571802944	0	DTX3L
RSL1D1	7.65549877313997e-07	-0.725000109107775	0.32	0.445	0.010427554878894	0	RSL1D1
CYTOR	8.35152849311426e-07	-1.72166728160272	0.075	0.173	0.0113756169604709	0	CYTOR
CD226	8.45508404794042e-07	-1.59068769241487	0.054	0.148	0.0115166699816997	0	CD226
XBP1	8.85748033883438e-07	-0.734991220317481	0.359	0.479	0.0120647739695263	0	XBP1
INPP5D	8.8594345857894e-07	0.560290704211728	0.408	0.277	0.0120674358493037	0	INPP5D
REEP5	9.14825791487902e-07	0.465082631350548	0.594	0.461	0.0124608421058567	0	REEP5
ETF1	9.16345155317882e-07	-1.17293479663643	0.106	0.216	0.0124815373605849	0	ETF1
ENO1	9.45838130252133e-07	-0.660777243145755	0.587	0.691	0.0128832611721643	0	ENO1
SH2D1B	9.71320677605794e-07	0.356084156393139	0.7	0.571	0.0132303589496685	0	SH2D1B
RNF19A	1.0369824417313e-06	-0.890668698479083	0.393	0.499	0.014124737838822	0	RNF19A
BTG2	1.0404019214151e-06	-0.83378149936996	0.532	0.617	0.0141713145715951	0	BTG2
PTGER2	1.17239731474927e-06	-1.21859359504654	0.152	0.266	0.0159692238241998	0	PTGER2
BZW1	1.18658897388836e-06	-0.566511215671012	0.514	0.625	0.0161625284133334	0	BZW1
IER5	1.32602983813576e-06	-0.793223228873144	0.377	0.489	0.0180618524252472	0	IER5
ITK	1.33010456264686e-06	-1.12187350152964	0.119	0.229	0.0181173542478128	0	ITK
FCER1G	1.40391630025439e-06	0.563875641194199	0.514	0.394	0.0191227439257651	0	FCER1G
NAP1L1	1.51421393207746e-06	-0.537475046409012	0.499	0.606	0.020625107968827	0	NAP1L1
TMEM123	1.52633433245283e-06	-0.625367530610363	0.439	0.552	0.0207901999423401	0	TMEM123
PSMA2	1.52920877431649e-06	-0.454345496108755	0.499	0.616	0.0208293527149649	0	PSMA2
TBCD	1.54378192568573e-06	0.533659095485544	0.452	0.322	0.0210278536097653	0	TBCD
PLSCR1	1.5834121916291e-06	-1.46073985759232	0.119	0.222	0.0215676574621799	0	PLSCR1
CERK	1.58506388487568e-06	0.702200688844284	0.385	0.272	0.0215901551758916	0	CERK
ZNF267	1.63653121930931e-06	-0.989101086128866	0.183	0.298	0.0222911917382121	0	ZNF267
TNFSF14	1.66811087723584e-06	-1.38014779877614	0.388	0.467	0.0227213382588294	0	TNFSF14
HIST1H1E	1.74683757952103e-06	0.419374836946841	0.773	0.682	0.023793674670656	0	HIST1H1E
LITAF	1.75995194772886e-06	-0.540794450382581	0.649	0.719	0.0239723054800148	0	LITAF
HNRNPC	1.8104313949804e-06	-0.545277553308331	0.491	0.596	0.0246598860310281	0	HNRNPC
LYST	1.85451252508341e-06	-0.556330619094485	0.499	0.606	0.0252603151041612	0	LYST
ANXA1	1.88230773179842e-06	-0.729597366934283	0.628	0.701	0.0256389136148263	0	ANXA1
CAPN2	1.9148921135085e-06	-0.934814968046753	0.155	0.272	0.0260827454780993	0	CAPN2
ERN1	2.00019075803952e-06	0.683216710398579	0.38	0.266	0.0272445983152563	0	ERN1
CCL4	2.02302803298306e-06	-2.57555542231061	0.868	0.835	0.0275556648372623	0	CCL4
DIP2A	2.11744521512786e-06	0.636078775727187	0.398	0.282	0.0288417212752565	0	DIP2A
CARD19	2.19314138563676e-06	0.500537884896254	0.411	0.28	0.0298727788137584	0	CARD19
HDGF	2.24217578477371e-06	0.559052162529462	0.517	0.403	0.0305406763644026	0	HDGF
TRAPPC10	2.27437531183736e-06	0.430325544601314	0.646	0.534	0.0309792661225367	0	TRAPPC10
ABCE1	2.49478413560258e-06	-0.936429055684595	0.16	0.274	0.0339814547110427	0	ABCE1
GTPBP4	2.53867391424255e-06	-0.96221731820437	0.127	0.239	0.0345792773858977	0	GTPBP4
