p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
TFDP2	1.08637502261328e-14	0.897459209814468	0.504	0.307	1.44987610517969e-10	0	TFDP2
BCL2A1	1.09214880245115e-14	-3.30754281307366	0.037	0.185	1.45758179175131e-10	0	BCL2A1
CXCR2	1.16401530768492e-14	2.09870435041035	0.15	0.037	1.55349482963629e-10	0	CXCR2
SERPINB9	1.26263273174229e-14	-1.8856721492839	0.191	0.373	1.68510964378326e-10	0	SERPINB9
EPB41	1.35100410278782e-14	0.658949592573707	0.711	0.525	1.80305007558063e-10	0	EPB41
SPON2	1.40922360918928e-14	0.648591186301561	0.491	0.284	1.88074982882401e-10	0	SPON2
ISG20	1.47424024002847e-14	-1.42565067128498	0.283	0.469	1.967521024342e-10	0	ISG20
SH2D1B	1.49309389487206e-14	0.540284830624412	0.743	0.517	1.99268311209625e-10	0	SH2D1B
BCL2	1.68580549791497e-14	-3.36258553735367	0.02	0.156	2.24987601751732e-10	0	BCL2
MX1	1.72355372025388e-14	-1.94295455235082	0.137	0.317	2.30025479505083e-10	0	MX1
GK5	1.82558408179624e-14	0.821750100567742	0.563	0.37	2.43642451556526e-10	0	GK5
STK10	2.24506899922472e-14	0.727618898606429	0.572	0.359	2.99626908636531e-10	0	STK10
RGCC	2.25581317722528e-14	-1.18838027057065	0.291	0.487	3.01060826632486e-10	0	RGCC
CCT2	2.35919505424889e-14	-1.15010005798289	0.25	0.445	3.14858171940057e-10	0	CCT2
ISG15	2.57949402208513e-14	-1.62260637648728	0.437	0.585	3.44259272187481e-10	0	ISG15
HIST1H1D	3.01520346058128e-14	0.741836805092955	0.635	0.426	4.02409053849178e-10	0	HIST1H1D
CD3E	3.31505295215686e-14	-1.3034645747626	0.211	0.398	4.42426966994855e-10	0	CD3E
TAGAP	4.01335432055845e-14	-1.9064614653724	0.426	0.547	5.35622267621731e-10	0	TAGAP
NFKBIA	4.59874900314565e-14	-1.60003655893797	0.537	0.654	6.13749041959819e-10	0	NFKBIA
MAPK1	1.05945923041081e-13	0.669298956769051	0.685	0.518	1.41395428890626e-09	0	MAPK1
ADGRE5	1.14207447707381e-13	-1.33796342931277	0.504	0.62	1.52421259710271e-09	0	ADGRE5
HSPD1	1.23087066506935e-13	-1.42556094168752	0.235	0.416	1.64271998960156e-09	0	HSPD1
SYNE1	1.24735276071855e-13	0.659669263908485	0.709	0.511	1.66471699445498e-09	0	SYNE1
HNRNPC	1.2559855603316e-13	-0.842763050362079	0.428	0.605	1.67623832881856e-09	0	HNRNPC
RBPJ	1.45718170277118e-13	-0.822217044362497	0.439	0.619	1.94475470051841e-09	0	RBPJ
ADO	1.58443845893951e-13	-1.90446574921618	0.102	0.268	2.11459156730067e-09	0	ADO
PLEK	1.81847467104382e-13	0.38454531144547	0.82	0.662	2.42693629597508e-09	0	PLEK
VSIR	2.03672555213675e-13	-1.82410342556026	0.143	0.313	2.7182139218817e-09	0	VSIR
STK38	2.08833729145496e-13	0.776710542714269	0.583	0.396	2.78709494917579e-09	0	STK38
RAB11FIP1	2.20166148777376e-13	0.839021348139406	0.52	0.327	2.93833742158285e-09	0	RAB11FIP1
KLF10	2.37701349380549e-13	-1.83362141544896	0.109	0.275	3.17236220883281e-09	0	KLF10
PTPRC	2.47155786739577e-13	0.316340641907327	0.985	0.932	3.29854112982639e-09	0	PTPRC
GIMAP1	2.62440223187425e-13	0.548641283071716	0.746	0.544	3.50252721865937e-09	0	GIMAP1
ALOX5AP	4.26784675604305e-13	0.618271363298588	0.676	0.481	5.69586828061505e-09	0	ALOX5AP
SMS	4.30474958408546e-13	-1.84489957867866	0.126	0.293	5.74511879492045e-09	0	SMS
ZFAS1	4.92184948832925e-13	-1.04217175500799	0.33	0.508	6.56870032712422e-09	0	ZFAS1
NME1	6.28947820143709e-13	-3.30889545009354	0.028	0.157	8.39393760763794e-09	0	NME1
DUSP5	6.76490853416023e-13	-3.03567153352541	0.046	0.183	9.02844692969024e-09	0	DUSP5
LAIR1	7.19565652617827e-13	1.06002287043514	0.302	0.141	9.60332319983753e-09	0	LAIR1
RPL32	7.59718421601761e-13	-0.310051964295474	1	1	1.01392020546971e-08	0	RPL32
IER3	9.42820254122485e-13	-2.61076183397339	0.076	0.225	1.25828791115187e-08	0	IER3
IFIT1	9.97431122898974e-13	-2.30894867833835	0.107	0.261	1.33117157662097e-08	0	IFIT1
ABHD17A	1.04994970570628e-12	0.568343268379271	0.739	0.592	1.4012628772356e-08	0	ABHD17A
BIN2	1.06526772684996e-12	0.652091423896454	0.65	0.468	1.42170630825396e-08	0	BIN2
PPP1R18	1.15268996785122e-12	0.60363779535043	0.693	0.536	1.53838003109424e-08	0	PPP1R18
RBL2	1.24438317589805e-12	0.779570587340583	0.522	0.332	1.66075378655354e-08	0	RBL2
SNHG16	1.24804594091362e-12	-2.02994216543742	0.054	0.197	1.66564211274332e-08	0	SNHG16
CELF2	1.47568693954626e-12	0.633565208178332	0.689	0.519	1.96945178951843e-08	0	CELF2
PLP2	1.47607528297647e-12	-0.931895387380574	0.304	0.495	1.9699700726604e-08	0	PLP2
SLC7A1	1.59181354635063e-12	-3.55845381115983	0.013	0.128	2.12443435895955e-08	0	SLC7A1
AL138824.1	1.71219767727493e-12	1.50186585525056	0.17	0.054	2.28509902009112e-08	0	AL138824.1
MYL12A	1.7178494574683e-12	0.357096355092479	0.959	0.87	2.2926418859372e-08	0	MYL12A
MDFIC	1.831932686846e-12	-1.88323141355772	0.104	0.261	2.44489736386467e-08	0	MDFIC
SRSF2	1.92252173631942e-12	-0.760056576088264	0.474	0.627	2.5657975092919e-08	0	SRSF2
STX11	1.95877700745554e-12	-1.8605720463211	0.078	0.229	2.61418379415017e-08	0	STX11
PIK3IP1	2.36925662752199e-12	0.617636403353404	0.633	0.421	3.16200989509085e-08	0	PIK3IP1
BZW1	2.52967910922401e-12	-0.807673784658187	0.515	0.644	3.37610973917036e-08	0	BZW1
ENO1	2.56772351522082e-12	-0.902390160423849	0.572	0.707	3.4268838034137e-08	0	ENO1
NOP14	2.65684213507174e-12	-1.78958932752614	0.074	0.223	3.54582151346675e-08	0	NOP14
POLR2K	2.90397536402789e-12	-1.14372777309735	0.315	0.486	3.87564552083162e-08	0	POLR2K
AKR1C3	3.3410095560579e-12	1.06353456093832	0.328	0.168	4.45891135351487e-08	0	AKR1C3
EIF5B	3.81441798453001e-12	-0.737130576454236	0.374	0.562	5.09072224215375e-08	0	EIF5B
ANP32B	3.94467796672332e-12	-0.703714899397105	0.546	0.689	5.26456721438895e-08	0	ANP32B
HSPA5	4.02847940680703e-12	-1.52565520545674	0.539	0.658	5.37640861632467e-08	0	HSPA5
BTG3	4.28647231138688e-12	-1.77622546848506	0.08	0.229	5.72072594677694e-08	0	BTG3
SEC61B	4.30592808895123e-12	-0.903297935611036	0.602	0.713	5.74669162751432e-08	0	SEC61B
SRSF3	4.46997110510237e-12	-0.696671729413145	0.504	0.655	5.96562343686962e-08	0	SRSF3
CLEC2B	4.81359965247186e-12	0.3623285328793	0.937	0.824	6.42423009618895e-08	0	CLEC2B
S1PR5	5.04814360640415e-12	0.719389254018937	0.561	0.372	6.73725245710697e-08	0	S1PR5
ITM2B	5.55654418702571e-12	0.507711075115916	0.811	0.694	7.41576387200451e-08	0	ITM2B
MRTO4	5.57110592953229e-12	-2.36921060291081	0.041	0.171	7.4351979735538e-08	0	MRTO4
NMUR1	6.08589608685578e-12	1.40417018696228	0.189	0.068	8.12223691751772e-08	0	NMUR1
WDR43	6.31869134087675e-12	-1.7286877232665	0.096	0.246	8.43292546353411e-08	0	WDR43
CCSER2	8.08081205172788e-12	0.56587554700384	0.739	0.612	1.0784651764236e-07	0	CCSER2
EIF5A	8.44893377583649e-12	-0.780898942965238	0.602	0.721	1.12759470172314e-07	0	EIF5A
PPA1	8.57662377465376e-12	-1.81083713174234	0.093	0.241	1.14463620896529e-07	0	PPA1
PLAU	9.0010139708842e-12	-3.50542265026926	0.017	0.13	1.2012753245542e-07	0	PLAU
YBX1	9.05862574481521e-12	-0.584032237217739	0.796	0.866	1.20896419190304e-07	0	YBX1
BTG2	1.09062453166006e-11	-0.978220074377005	0.509	0.633	1.45554749995351e-07	0	BTG2
HCST	1.1455756690689e-11	0.460141906410794	0.907	0.823	1.52888528793935e-07	0	HCST
USP28	1.36170130190136e-11	0.847964184843021	0.428	0.256	1.81732655751756e-07	0	USP28
GZMH	1.57501583583827e-11	0.48810303968643	0.646	0.447	2.10201613450976e-07	0	GZMH
ZNF267	1.61792189930744e-11	-1.19328140775694	0.167	0.335	2.15927856681571e-07	0	ZNF267
SERTAD1	1.85123511956796e-11	-1.4565776527724	0.161	0.316	2.4706583905754e-07	0	SERTAD1
STOM	2.79219810657325e-11	0.773152201793962	0.417	0.244	3.72646759303266e-07	0	STOM
PPP1R14B	3.14275497525358e-11	-0.806281309807992	0.457	0.622	4.19432078997343e-07	0	PPP1R14B
NCS1	3.17878137726025e-11	-2.90703691919345	0.02	0.129	4.24240162609153e-07	0	NCS1
FGR	3.351487477988e-11	0.66911537877787	0.554	0.377	4.47289518812278e-07	0	FGR
ICAM1	3.46314564086351e-11	-3.43653016064839	0.02	0.128	4.62191417229644e-07	0	ICAM1
TNRC6B	3.49583051369247e-11	0.464687049179724	0.82	0.693	4.66553540357398e-07	0	TNRC6B
TNF	4.16976860208063e-11	-5.0027759166957	0.024	0.134	5.5649731763368e-07	0	TNF
ABI3	4.38179256333323e-11	0.642512082124454	0.554	0.369	5.84794035502453e-07	0	ABI3
SYPL1	4.40458291835445e-11	-1.5547210461349	0.089	0.232	5.87835636283584e-07	0	SYPL1
LTB	5.10790507628551e-11	-2.09460213363156	0.167	0.316	6.81701011481065e-07	0	LTB
GCHFR	5.26445662898234e-11	0.645449522215003	0.443	0.263	7.02594381703983e-07	0	GCHFR
EVL	5.57065934660484e-11	0.569927064902289	0.7	0.539	7.43460196397882e-07	0	EVL
C1QBP	6.63703391927261e-11	-1.16432695114838	0.217	0.376	8.85778546866123e-07	0	C1QBP
IFIT3	8.373917015954e-11	-2.07217497911856	0.248	0.382	1.11758296494922e-06	0	IFIT3
GPX4	8.41606086867585e-11	-0.959110644440551	0.309	0.47	1.12320748353348e-06	0	GPX4
NR4A2	8.64260602401885e-11	-4.76053588570731	0.011	0.108	1.15344219996556e-06	0	NR4A2
IFNG	9.91914431425467e-11	-5.04530870741168	0.041	0.158	1.32380900018043e-06	0	IFNG
LDHA	1.07070292323857e-10	-0.557207349605609	0.757	0.847	1.4289601213542e-06	0	LDHA
BCL2L1	1.25214824470137e-10	-2.154368463967	0.113	0.247	1.67111704737844e-06	0	BCL2L1
REL	1.25247746419705e-10	-1.41284989077947	0.537	0.615	1.67155642371739e-06	0	REL
CLEC2D	1.27204830921129e-10	-0.774308650847465	0.654	0.739	1.69767567347339e-06	0	CLEC2D
MGAT4A	1.47922235919636e-10	0.72976028572483	0.483	0.313	1.97417016058346e-06	0	MGAT4A
LNPEP	1.51685411673441e-10	0.501074906837462	0.713	0.565	2.02439350419374e-06	0	LNPEP
SRSF7	1.54881985005192e-10	-0.975768882105094	0.352	0.498	2.0670549718793e-06	0	SRSF7
STAT1	1.75587387033196e-10	-1.22606522725293	0.178	0.336	2.34338926734503e-06	0	STAT1
RPL36	1.80898577138326e-10	-0.349971978418047	0.998	0.985	2.4142724104881e-06	0	RPL36
NFKB2	1.88908209495824e-10	-1.44522652949665	0.115	0.258	2.52116896393127e-06	0	NFKB2
ATP1B3	1.9653751461642e-10	-1.3526314933222	0.265	0.406	2.62298967007074e-06	0	ATP1B3
AC008875.3	2.07476817658755e-10	0.570322317927944	0.652	0.515	2.76898560847374e-06	0	AC008875.3
RPSA	2.12111336525387e-10	-0.400272129408549	0.954	0.988	2.83083789726781e-06	0	RPSA
AGO2	2.34998492798308e-10	-0.753787188562994	0.443	0.593	3.13628988488622e-06	0	AGO2
SSR4	2.38103680254212e-10	-0.466881131228748	0.615	0.766	3.17773171667272e-06	0	SSR4
PAICS	2.51421517167944e-10	-2.42494994926871	0.039	0.152	3.35547156812338e-06	0	PAICS
IER5L	2.53355951859901e-10	-1.83685913913671	0.048	0.169	3.38128853352224e-06	0	IER5L
FCER1G	2.61311168679749e-10	0.606515441462927	0.548	0.366	3.48745885719993e-06	0	FCER1G
IFI44L	2.63550414186028e-10	-2.06636299262746	0.102	0.236	3.51734382772673e-06	0	IFI44L
APMAP	2.64529008870342e-10	0.47224784773295	0.776	0.652	3.53040415238359e-06	0	APMAP
CHD4	2.75297898225444e-10	-0.696138859369261	0.467	0.621	3.67412574971677e-06	0	CHD4
ODC1	2.93231909434413e-10	-2.30375101918386	0.037	0.149	3.91347306331168e-06	0	ODC1
AUTS2	2.94097571492676e-10	0.70638882813213	0.47	0.303	3.92502618914125e-06	0	AUTS2
CYTH1	3.06435319405426e-10	0.591790426953347	0.574	0.409	4.08968577278482e-06	0	CYTH1
MAP2K3	3.37372112680057e-10	-1.17194215828206	0.259	0.403	4.50256821582805e-06	0	MAP2K3
RPS20	3.51664685986743e-10	-0.43654747062016	0.889	0.925	4.69331689917907e-06	0	RPS20
MIR222HG	3.57425535321796e-10	-3.30557713489673	0.015	0.111	4.77020119440468e-06	0	MIR222HG
MIF	3.75356782238174e-10	-0.595837269890804	0.73	0.83	5.00951161575067e-06	0	MIF
IL21R	3.92527573819676e-10	-1.57355031897435	0.107	0.243	5.23867300019739e-06	0	IL21R
UTRN	4.68129482964196e-10	0.5847772343242	0.687	0.542	6.24765607964016e-06	0	UTRN
RPL8	4.72634865472766e-10	-0.372423047124782	0.95	0.969	6.30778491459953e-06	0	RPL8
TLE5	5.21239779405859e-10	0.510432567081152	0.735	0.631	6.95646609595059e-06	0	TLE5
TTC39B	5.42213849229294e-10	0.797897421878657	0.359	0.205	7.23638603181416e-06	0	TTC39B
EIF2S1	5.82061786470445e-10	-1.04210714642485	0.189	0.341	7.76819660223456e-06	0	EIF2S1
IRF7	6.0986856197904e-10	-0.898430824192961	0.276	0.438	8.13930582817227e-06	0	IRF7
RPL10A	6.21662919228824e-10	-0.449507194499303	0.924	0.973	8.29671332002789e-06	0	RPL10A
BTF3	6.3397994345079e-10	-0.392349264616633	0.874	0.936	8.46109632529425e-06	0	BTF3
PNO1	6.56864309639943e-10	-1.84968437653222	0.059	0.179	8.76651107645469e-06	0	PNO1
NINJ1	7.85128943215495e-10	-1.31744572369662	0.235	0.377	1.0478330876154e-05	0	NINJ1
TRAF3IP3	7.89958192521136e-10	0.839478911656992	0.439	0.288	1.05427820373871e-05	0	TRAF3IP3
APOBEC3G	8.35633494704511e-10	-0.500232793687393	0.937	0.927	1.11523646203264e-05	0	APOBEC3G
BCL2L11	8.8392339061216e-10	-1.64977157764186	0.083	0.211	1.17968415711099e-05	0	BCL2L11
